"","genre","year","m_popularity","m_danceability","m_energy","m_loudness","m_acousticness","m_tempo","m_duration_ms","m_valence","m_liveness"
"157","r&b",1985,48.6666666666667,0.6542,0.499933333333333,-11.0486666666667,0.398546666666667,115.1356,265223.933333333,0.61648,0.150433333333333
"158","r&b",1986,31.7857142857143,0.689714285714286,0.615928571428571,-11.7533928571429,0.295907857142857,112.563535714286,282566.464285714,0.679178571428571,0.117821428571429
"159","r&b",1987,36.8064516129032,0.716612903225806,0.573838709677419,-12.4722903225806,0.223101612903226,121.849451612903,287977.129032258,0.727225806451613,0.172009677419355
"160","r&b",1988,34.4032258064516,0.724548387096774,0.611564516129032,-11.9525483870968,0.133040306451613,109.085758064516,290244.290322581,0.735790322580645,0.148022580645161
"161","r&b",1989,32.1276595744681,0.706872340425532,0.72668085106383,-10.2416808510638,0.146147617021277,113.647744680851,291638.446808511,0.68801914893617,0.171274468085106
"162","r&b",1990,29.8181818181818,0.713675324675325,0.701350649350649,-10.2541428571429,0.0827478181818182,116.610428571429,299675.818181818,0.67674025974026,0.173874025974026
"163","r&b",1991,30.702380952381,0.699619047619048,0.675459523809524,-9.78527380952381,0.130399607142857,118.548321428571,280031.178571429,0.657714285714286,0.195242857142857
"164","r&b",1992,30.7938144329897,0.698886597938144,0.663564948453608,-9.35763917525773,0.135090309278351,119.367525773196,265274.30927835,0.652948453608247,0.172794845360825
"165","r&b",1993,31.9375,0.6837125,0.6345,-9.288725,0.164518825,114.7504125,281393.625,0.602025,0.20442125
"166","r&b",1994,33.25,0.715458333333333,0.599763888888889,-8.09755555555556,0.151412166666667,110.968708333333,256545.347222222,0.613319444444444,0.161631944444444
"167","r&b",1995,32.8125,0.698328125,0.5539375,-9.212671875,0.25493875,105.556140625,277465.109375,0.611296875,0.13933125
"168","r&b",1996,39.4494382022472,0.72438202247191,0.537165168539326,-8.23429213483146,0.213442584269663,110.377101123596,275340.494382022,0.61365393258427,0.155551685393258
"169","r&b",1997,39.438202247191,0.707224719101124,0.522973033707865,-9.01922471910112,0.22705502247191,106.709662921348,275203.775280899,0.547508988764045,0.201225842696629
"170","r&b",1998,31.2461538461538,0.687584615384615,0.556646153846154,-8.59795384615385,0.233463846153846,105.461261538462,285836.953846154,0.602753846153846,0.184187692307692
"171","r&b",1999,39.7066666666667,0.714626666666667,0.58692,-7.73017333333333,0.196254933333333,104.7238,250197.28,0.64088,0.148617333333333
"172","r&b",2000,32.7623762376238,0.720940594059406,0.579148514851485,-7.74355445544554,0.226761782178218,112.89802970297,265463.445544554,0.596128712871287,0.204326732673267
"173","r&b",2001,37.3814432989691,0.699494845360825,0.623618556701031,-7.02747422680412,0.202000618556701,116.01506185567,261215.422680412,0.633524742268041,0.149764948453608
"174","r&b",2002,36.05,0.7207,0.61697,-7.0842,0.1980798,103.74081,252931.48,0.62226,0.179345
"175","r&b",2003,32.6019417475728,0.688145631067961,0.571417475728155,-7.75500970873786,0.268458427184466,105.220563106796,257825.097087379,0.588533980582524,0.17671067961165
