"","genre","subgenre","year","subgenre_mean"
"401","r&b","neo soul",1985,34.75
"402","r&b","neo soul",1986,47.5
"403","r&b","neo soul",1987,30.5714285714286
"404","r&b","neo soul",1988,10.3333333333333
"405","r&b","neo soul",1989,0
"406","r&b","neo soul",1990,53
"407","r&b","neo soul",1991,43.3333333333333
"408","r&b","neo soul",1992,47.25
"409","r&b","neo soul",1993,32.4545454545455
"410","r&b","neo soul",1994,56
"411","r&b","neo soul",1995,29.7142857142857
"412","r&b","neo soul",1996,38.8947368421053
"413","r&b","neo soul",1997,35.4230769230769
"414","r&b","neo soul",1998,19.8
"415","r&b","neo soul",1999,28.7368421052632
"416","r&b","neo soul",2000,38.7179487179487
"417","r&b","neo soul",2001,32.0769230769231
"418","r&b","neo soul",2002,36.5588235294118
"419","r&b","neo soul",2003,23.9761904761905
"420","r&b","neo soul",2004,27.0322580645161
"421","r&b","neo soul",2005,24.3513513513514
"422","r&b","neo soul",2006,20.1428571428571
"423","r&b","neo soul",2007,17.9166666666667
"424","r&b","neo soul",2008,18.1447368421053
"425","r&b","neo soul",2009,17.2682926829268
"426","r&b","neo soul",2010,28.1724137931034
"427","r&b","neo soul",2011,23.7457627118644
"428","r&b","neo soul",2012,29.9827586206897
"429","r&b","neo soul",2013,25.016393442623
"430","r&b","neo soul",2014,23.390243902439
"431","r&b","neo soul",2015,35
"432","r&b","neo soul",2016,36.1927710843374
"433","r&b","neo soul",2017,39.8908045977011
"434","r&b","neo soul",2018,39.8478260869565
"435","r&b","neo soul",2019,44.8409090909091
"436","r&b","neo soul",2020,10.6666666666667
"437","r&b","neo soul",NA,69
"438","r&b","new jack swing",1979,48
"439","r&b","new jack swing",1980,58
"440","r&b","new jack swing",1982,58
"441","r&b","new jack swing",1984,60.2
"442","r&b","new jack swing",1985,52.6666666666667
"443","r&b","new jack swing",1986,26.0952380952381
"444","r&b","new jack swing",1987,41.9545454545455
"445","r&b","new jack swing",1988,34.7454545454545
"446","r&b","new jack swing",1989,32.3777777777778
"447","r&b","new jack swing",1990,28.0428571428571
"448","r&b","new jack swing",1991,29.1298701298701
"449","r&b","new jack swing",1992,28.4634146341463
"450","r&b","new jack swing",1993,30.03125
"451","r&b","new jack swing",1994,29.4821428571429
"452","r&b","new jack swing",1995,33.2325581395349
"453","r&b","new jack swing",1996,36.55
"454","r&b","new jack swing",1997,33.8409090909091
"455","r&b","new jack swing",1998,34.3214285714286
"456","r&b","new jack swing",1999,36.1875
"457","r&b","new jack swing",2000,23.8048780487805
"458","r&b","new jack swing",2001,29.25
"459","r&b","new jack swing",2002,20.7352941176471
